Identifier,Amazon Title,Amazon URL,Amazon Image,Amazon Category,Brand,Variations,ASIN,Amazon UPC/EAN,Buy Box,Amazon Sells and In Stock,Average Price (30 days),Average Price (90 days),Amazon Return After Fees,New Sellers,Weight (lbs),Product Size,Sales Rank,Average Rank (30 Days),Average Rank (90 Days),Estimated Monthly Sales,Reviews,Rating,Last Update,Note,Buy Box Price,Average Amazon Sale Price,Average New Sale Price,Lowest Sale Price,Average New Sale Price (Amazon is OOS),Length,Width,Height,WeightUnits,SizeUnits,Amazon In Stock (30 days)
,"MILWAUKEE'S Genuine OEM 48-59-2401 M12 Lithium Ion 12 Volt Battery Charger w/LED Indicating, Red",https://amazon.com/dp/B0086AJFAM/,https://m.media-amazon.com/images/I/51wEU6FvybL.jpg,Tools & Home Improvement,Milwaukee's,1,B0086AJFAM,,MF,out of stock,,,$8.09 ,45,1.15,Large Standard-Size,1414,1266,1562,1499,5159,4.8,2021-07-03T08:03:38.000000Z,,$15.57 ,$55.00 ,$20.62 ,$15.57 ,,882,835,283,hundredths-pounds,hundredths-inches,0
,Miracle-Gro Potting Mix 2 pack,https://amazon.com/dp/B091ZLJ417/,https://m.media-amazon.com/images/I/41MuRuYaxLL.jpg,"Patio, Lawn & Garden",Miracle-gro,7,B091ZLJ417,,,,,,$16.78 ,3,43,Small Oversize,145,4800,5801,959,17272,4.7,2021-07-02T20:31:17.000000Z,,$49.74 ,$32.92 ,$37.76 ,$29.46 ,$88.99 ,3500,1800,500,hundredths-pounds,hundredths-inches,
,HOME ARMOR Mildew Stain Remover - Bleach Free Cleaner Spray - Trigger Spray Bottle - 32 ounce,https://amazon.com/dp/B00405W220/,https://m.media-amazon.com/images/I/41Ke3NiAB2L.jpg,Health & Household,Mold Armor,1,B00405W220,75919005231,AMZ,yes,,,$0.14 ,7,2.38,Large Standard-Size,10495,10100,8713,1218,975,3.9,2021-07-03T14:46:44.000000Z,,$6.98 ,$6.99 ,$7.32 ,$6.98 ,$31.54 ,1189,764,307,hundredths-pounds,hundredths-inches,
,"Monterey LG6515 Sluggo Snail Bait Wildlife and Pet Safe Slug Killer, 1 lb",https://amazon.com/dp/B000BWY3MS/,https://m.media-amazon.com/images/I/41Csqbi0VSL.jpg,"Patio, Lawn & Garden",Monterey,1,B000BWY3MS,22179101241,AMZ,yes,,,$3.10 ,11,1.15,Large Standard-Size,3058,2663,4484,1625,823,4.5,2021-07-02T12:58:39.000000Z,,$9.49 ,$9.12 ,$9.72 ,$2.00 ,$12.44 ,650,320,300,hundredths-pounds,hundredths-inches,
,"Mrs. Meyer's Clean Day Dishwashing Liquid Dish Soap, Cruelty Free Formula, Peony Scent, 16 oz Bottle",https://amazon.com/dp/B00X4XDL7E/,https://m.media-amazon.com/images/I/31a1v1ppxdL.jpg,Health & Household,Mrs. Meyer's Clean Day,7,B00X4XDL7E,8.08125E+11,AMZ,yes,,,($1.30),5,1.17,Large Standard-Size,1581,1719,1478,2813,709,4.8,2021-07-03T11:28:09.000000Z,,$3.99 ,$3.99 ,$9.04 ,$3.89 ,$12.57 ,839,236,236,hundredths-pounds,hundredths-inches,
,Mystical Fire Campfire Fireplace Colorant Packets (50 Pack),https://amazon.com/dp/B00KMASB4U/,https://m.media-amazon.com/images/I/41J8Z78dG5L.jpg,"Patio, Lawn & Garden",Mystical Fire,1,B00KMASB4U,7.7732E+11,MF,out of stock,,,$17.39 ,13,3.06,Large Standard-Size,2320,2410,7119,1572,1723,4.8,2021-07-02T00:50:04.000000Z,,$27.23 ,,$33.56 ,$6.40 ,,941,756,276,hundredths-pounds,hundredths-inches,0
,"Muscle Roller, Trigger Point Muscle Roller for Calves, Leg, Arms, Tennis Elbow and Golfer Elbow, Foam Roller Deep Massage Tool for Relieve Muscle Soreness,",https://amazon.com/dp/B085TFQT42/,https://m.media-amazon.com/images/I/41fkDXg-epL.jpg,Health & Household,Mzdxj,8,B085TFQT42,,FBA,out of stock,,,$11.19 ,3,1.32,Large Standard-Size,8936,17318,11925,764,1624,4.4,2021-07-02T05:15:54.000000Z,,$19.98 ,,$22.49 ,$0.11 ,,1343,1079,213,hundredths-pounds,hundredths-inches,0
,"Natrol Melatonin Fast Dissolve Tablets, Helps You Fall Asleep Faster, Stay Asleep Longer, Easy to Take, Dissolve in Mouth, Strengthen Immune System, Maximu",https://amazon.com/dp/B01E14X7SM/,https://m.media-amazon.com/images/I/41IpZIaCEGL.jpg,Health & Household,Natrol,6,B01E14X7SM,47469071509,AMZ,yes,,,$6.71 ,7,0.15,Large Standard-Size,152,263,308,3170,28217,4.6,2021-07-04T00:49:38.000000Z,,$11.99 ,$12.25 ,$12.38 ,$5.99 ,$22.62 ,450,200,200,hundredths-pounds,hundredths-inches,
,Nature Made Extra-Strength Magnesium 400 mg - 180 Softgels,https://amazon.com/dp/B07LDV2VX4/,https://m.media-amazon.com/images/I/41izJr1c0iL.jpg,Health & Household,Nature Made,1,B07LDV2VX4,6.81131E+11,FBA,out of stock,,,$14.76 ,33,0.86,Large Standard-Size,16518,6781,7306,2813,231,4.8,2021-07-04T08:19:09.000000Z,,$22.39 ,,$23.88 ,$6.90 ,,579,303,295,hundredths-pounds,hundredths-inches,0
,"Nature’s Miracle Hard Floor Cleaner, Updated, 24 Oz.",https://amazon.com/dp/B07MM2N1NL/,https://m.media-amazon.com/images/I/41lPLoPOUdL.jpg,Health & Household,Nature's Miracle,4,B07MM2N1NL,18065982254,AMZ,yes,,,($1.43),8,1.72,Large Standard-Size,3388,2819,2777,2813,5361,4.6,2021-07-03T10:51:38.000000Z,,$4.19 ,$8.83 ,$9.28 ,$3.35 ,$10.96 ,1055,425,213,hundredths-pounds,hundredths-inches,
