 Product Name,ASIN,Marketplace URL,UPC,SKU,Source URL,Handling Time,Bundle Qty,Source Price,Shipping Cost,Listed By,Initial price to list on Amazon,Tax,Buy Box,Marketplace,Amazon Fee FBA,Amazon Fee FBM,Lowest FBA,Lowest FBM,Sales Rank,Profit (FBA),Profit (FBM),Category,Approved for selling,
"Energy Star 30-Pint Dehumidifier with Washable Filter","B07DNCCJFN","https://www.amazon.com/dp/B07DNCCJFN","848987003108","","https://www.homedepot.com/p/Honeywell-Energy-Star-30-Pint-Dehumidifier-with-Washable-Filter-TP50WK/309765145","","1","249.99","0.00","","","19.999200000000002","249.99","Amazon","67.44","37.5","249.99","289.99","10,652","-67.44","-37.5","DEHUMIDIFIER","Login to SC",
"Best Price Mattress EB-FMS-0600F 6-Inch Memory Foam Mattress Full","B00HCZ0X9Y","https://www.amazon.com/dp/B00HCZ0X9Y","811811020480","","https://www.walmart.com/ip/385504446?selected=true","","1","179.35","0.00","","","14.347999999999999","166.88","Amazon","56.11","25.03","166.88","198.38","2,722","-68.58","-37.5","MATTRESS","Login to SC",
"Calphalon BVCLECMP1 Temp iQ Espresso Machine with Steam Wand Stainless","B07STXCNXW","https://www.amazon.com/dp/B07STXCNXW","053891128742","","https://www.walmart.com/ip/866215701?selected=true","","1","320.99","0.00","","","25.6792","314.98","Amazon","61.23","47.25","314.98","347.99","40,453","-67.23999999999998","-53.25999999999999","COFFEE_MAKER","Login to SC",
"Rubbermaid Double-Door Storage Cabinet - Base/Top 36w x 18d x 72h Gray/Black","B0000DCBMG","https://www.amazon.com/dp/B0000DCBMG","071691161967","","https://www.walmart.com/ip/22055996?selected=true","","1","290.96","0.00","","","23.276799999999998","290.96","Amazon","162.87","43.64","290.96","290","57,382","-162.87","-43.639999999999986","CABINET","Login to SC",
"DynastyMattress 4.5-Inch Gel Memory Foam Sofa Mattress Folding Mattress Queen Size","B00HK58W8U","https://www.amazon.com/dp/B00HK58W8U","788490140146","","https://www.walmart.com/ip/917822769?selected=true","","1","189","0.00","","","15.12","189","Amazon","56.01","28.35","N/A","189","16,264","-56.00999999999999","-28.349999999999994","MATTRESS","Login to SC",
"Sony WH1000XM3 Wireless Noise Canceling Over-the-Ear Headphones with Google Assistant - Silver","B07G4YL6BM","https://www.amazon.com/dp/B07G4YL6BM","027242911581","","https://www.walmart.com/ip/962350746?selected=true","","1","329.95","0.00","","","26.396","203.1","Amazon","28.31","23.25","203.1","348","159","-155.16","-150.1","HEADPHONES","Login to SC",
"VACMOP Pro Cordless Hard Floor Vacuum Spray Mop with Disposable VACMOP Pad","B084BS1J9K","https://www.amazon.com/dp/B084BS1J9K","622356562041","","https://www.homedepot.com/p/Shark-VACMOP-Pro-Cordless-Hard-Floor-Vacuum-Spray-Mop-with-Disposable-VACMOP-Pad-VM252/312860633","","1","99.99","0.00","","","7.999199999999999","89.99","Amazon","25.31","13.5","89.99","89.99","2,958","-35.31","-23.5","VACUUM_CLEANER","Login to SC",
"Classic Brands Cool Gel 12 Gel Memory Foam Mattress Twin","B00OHJL018","https://www.amazon.com/dp/B00OHJL018","849986012290","","https://www.walmart.com/ip/45589762?selected=true","","1","177.65","0.00","","","14.212","177.65","Amazon","68.83","26.65","177.65","340.99","10,048","-68.83","-26.650000000000006","MATTRESS","N/A",
"Shark ZS362 APEX DuoClean with Zero-M Corded Stick Vacuum","B07NFSG4FR","https://www.amazon.com/dp/B07NFSG4FR","N/A","","https://www.overstock.com/Home-Garden/Shark-ZS362-APEX-DuoClean-with-Zero-M-Corded-Stick-Vacuum/29126947/product.html","","1","249.99","0.00","","","19.999200000000002","270.6","Amazon","62.17","40.59","270.6","349","37,511","-41.56","-19.97999999999999","VACUUM_CLEANER","N/A",
"Slumber 1 - 8 Mattress-In-a-Box Multiple Sizes Twin","B07124P2QZ","https://www.amazon.com/dp/B07124P2QZ","723061735574","","https://www.walmart.com/ip/515097046?selected=true","","1","144.33","0.00","","","11.5464","118","Amazon","N/A","17.700000000000003","N/A","110.64","13,844","N/A","-44.030000000000015","MATTRESS","N/A",
"Rowenta Turbo Silence 16 Oscillating Pedestal Fan with Remote Control","B071JBX9MQ","https://www.amazon.com/dp/B071JBX9MQ","023108616805","","https://www.walmart.com/ip/927638374?selected=true","","1","149.58","0.00","","","11.9664","121.99","Amazon","40.37","18.3","121.99","159.56","11,254","-67.96000000000001","-45.890000000000015","ELECTRIC_FAN","N/A",
"Cosori CO130-AO 30L Toaster Oven Convection Oven Roaster Food Dehydrator and Recipes & Accessories Included","B07W67NQMN","https://www.amazon.com/dp/B07W67NQMN","817915027547","","https://www.walmart.com/ip/343926390?selected=true","","1","198","0.00","","","15.84","179.99","Amazon","56.18","27","179.99","379.99","2,467","-74.19","-45.00999999999999","COUNTERTOP_OVEN","N/A",
"Dewalt DWAFV461418 6 in. 14/18TPI Metal Recip Blade 5-Pack","B00CP8DF3O","https://www.amazon.com/dp/B00CP8DF3O","885911480130","","https://www.walmart.com/ip/118590328?selected=true","","1","21.28","5.99","","","1.7024000000000001","147.6","Amazon","34.72","18.84","N/A","157.01","8,525","85.60999999999999","101.48999999999998","VACUUM_CLEANER","N/A",
"BLACK+DECKER LST522 20V MAX Lithium-Ion 12 Cordless 2 Speed String Trimmer / Edger","B019Z72FM4","https://www.amazon.com/dp/B019Z72FM4","885911450447","","https://www.walmart.com/ip/55080697?selected=true","","1","94.4","0.00","","","7.5520000000000005","78.79","Amazon","26.29","11.82","78.79","79","730","-41.9","-27.430000000000007","STRING_TRIMMER","N/A",
"Dewalt 20V MAX XR Brushless Variable Speed Random Orbital Sander (Tool Only)","B07JQM7C28","https://www.amazon.com/dp/B07JQM7C28","885911557818","","https://www.walmart.com/ip/538959093?selected=true","","1","100.91","0.00","","","8.072799999999999","98","Amazon","17.44","11.76","98","99.38","1,419","-20.349999999999994","-14.670000000000002","HEADPHONES","N/A",
