 Product Name,ASIN,Marketplace URL,UPC,SKU,Source URL,Handling Time,Bundle Qty,Source Price,Shipping Cost,Listed By,Initial price to list on Amazon,Tax,Buy Box,Marketplace,Amazon Fee FBA,Amazon Fee FBM,Lowest FBA,Lowest FBM,Sales Rank,Profit (FBA),Profit (FBM),Category,Approved for selling,
"NETGEAR - EX3700 AC750 WiFi Wall Plug Range Extender and Signal Booster","B00R92CL5E","https://www.amazon.com/dp/B00R92CL5E","606449108484","","https://www.walmart.com/ip/46176071?selected=true","","1","25.9","5.99","","","2.072","34.37","Amazon","6.39","2.75","34.37","39.99","5","-3.9100000000000037","-0.2700000000000031","ANTENNA","Yes",
"Friends: The Complete Series (DVD)","B07S86K91M","https://www.amazon.com/dp/B07S86K91M","883929683567","","https://www.walmart.com/ip/438771516?selected=true","","1","54.36","0.00","","","4.3488","54.36","Amazon","15.63","9.95","54.36","58.98","45","-15.630000000000003","-9.950000000000003","DRINKING_CUP","No",
"Reveal Power Scrubber","B00BEUDWJQ","https://www.amazon.com/dp/B00BEUDWJQ","071691465928","","https://www.walmart.com/ip/38353938?selected=true","","1","22.89","5.99","","","1.8312","17.99","Amazon","6.34","2.7","17.99","19.4","1,456","-17.230000000000004","-13.590000000000003","CLEANING_BRUSH","Yes",
"Avatar (Blu-ray)","B0044XV3QY","https://www.amazon.com/dp/B0044XV3QY","024543713692","","https://www.walmart.com/ip/15172927?selected=true","","1","13.99","5.99","","","1.1192","13.99","Amazon","8.15","3.9","13.99","23.19","212","-14.14","-9.89","TABLETOP_GAME","No",
"TP Link TP-LINK Smart Wi-Fi Light Switch (HS200)","B01EZV35QU","https://www.amazon.com/dp/B01EZV35QU","845973096113","","https://www.walmart.com/ip/53320785?selected=true","","1","16.6","5.99","","","1.328","12.99","Amazon","5.42","1.95","13.29","13.02","368","-15.020000000000003","-11.550000000000002","ELECTRONIC_SWITCH","Yes",
"EcoSmart ECO11 240V 11 kW Electric Tankless Water Heater","B001LZRF9M","https://www.amazon.com/dp/B001LZRF9M","854920002022","","https://www.walmart.com/ip/37470817?selected=true","","1","185","0.00","","","14.8","185","Amazon","34.93","27.75","185","176.31","6,085","-34.93000000000001","-27.75","WATER_HEATER","Yes",
"Centennial: The Complete Series (DVD)","B00E3QJ8DC","https://www.amazon.com/dp/B00E3QJ8DC","025192195914","","https://www.walmart.com/ip/26936724?selected=true","","1","14.53","5.99","","","1.1623999999999999","14.53","Amazon","6.82","3.98","14.53","17.99","252","-12.81","-9.97","CHAIR","No",
"Pico Remote Control for Caseta Wireless Dimmer - White","B00KLAXFQ0","https://www.amazon.com/dp/B00KLAXFQ0","784276072120","","https://www.homedepot.com/p/Lutron-Pico-Remote-Control-for-Caseta-Wireless-Dimmer-White-PJ2-3BRL-WH-L01R/204718223","","1","14.95","5.99","","","1.196","14.5","Amazon","4.99","2.18","14.5","15.19","4,482","-11.429999999999998","-8.619999999999997","ELECTRONIC_SWITCH","Yes",
"Apple Watch Series 6 GPS 40mm Blue Aluminum Case with Deep Navy Sport Band - Regular","B08J5XF5SR","https://www.amazon.com/dp/B08J5XF5SR","190199866331","","https://www.walmart.com/ip/435851135?selected=true","","1","349","0.00","","","27.92","349","Amazon","39.28","34.92","349","443.95","79","-39.27999999999997","-34.920000000000016","WEARABLE_COMPUTER","No",
"SanDisk 128GB microSDXC UHS-I Memory Card for Nintendo Switch Red - 100MB/s Micro SD Card - SDSQXAO-128G-GNCZN","B07KXQX3S3","https://www.amazon.com/dp/B07KXQX3S3","619659171520","","https://www.walmart.com/ip/220370479?selected=true","","1","22.85","5.99","","","1.828","23.9","Amazon","4.61","1.91","24.94","23.9","11","-9.550000000000004","-6.850000000000005","FLASH_MEMORY","No",
"Apple AirPods Pro","B07ZPC9QD4","https://www.amazon.com/dp/B07ZPC9QD4","190199246850","","https://www.walmart.com/ip/520468661?selected=true","","1","197","0.00","","","15.76","197","Amazon","26.51","22.76","197","238.49","1","-26.50999999999999","-22.75999999999999","HEADPHONES","No",
"Lutron Caseta Plug-In Wireless Dimmer Kit","B00JJY1QG0","https://www.amazon.com/dp/B00JJY1QG0","784276072083","","https://www.walmart.com/ip/43835797?selected=true","","1","53.77","0.00","","","4.3016000000000005","47.99","Amazon","10.95","7.2","49.88","47.99","5,373","-16.729999999999997","-12.980000000000004","ELECTRONIC_SWITCH","Yes",
